13:00:03,67.20,1,89,67.30_67.50_67.80_67.90_68.00_,1_2_6_3_10_,67.20_67.10_67.00_66.90_66.80_,2_12_26_2_5_
13:00:24,67.20,2,91,67.30_67.50_67.70_67.80_67.90_,1_2_5_1_3_,67.10_67.00_66.90_66.80_66.70_,12_26_2_4_2_
13:02:01,67.20,2,91,67.30_67.50_67.60_67.70_67.80_,1_2_2_5_1_,67.10_67.00_66.90_66.80_66.70_,12_26_2_4_2_
13:09:02,67.20,2,91,67.30_67.60_67.70_67.80_67.90_,1_2_5_1_3_,67.10_67.00_66.90_66.80_66.70_,12_26_2_4_2_
13:10:14,67.20,2,91,67.20_67.30_67.60_67.70_67.80_,3_1_3_1_1_,67.10_67.00_66.90_66.80_66.70_,12_21_5_3_4_
13:11:56,67.10,2,100,67.20_67.30_67.60_67.70_67.80_,2_1_2_5_1_,67.10_67.00_66.90_66.80_66.70_,4_21_5_4_4_
13:15:42,67.20,1,101,67.20_67.30_67.60_67.70_67.80_,1_1_3_1_1_,67.10_67.00_66.90_66.80_66.70_,4_21_5_4_4_
13:16:08,67.10,3,104,67.20_67.30_67.60_67.70_67.80_,1_1_2_5_1_,67.10_67.00_66.90_66.80_66.70_,1_21_5_5_4_
13:16:54,67.10,3,104,67.20_67.30_67.60_67.70_67.80_,1_1_2_5_1_,67.10_67.00_66.90_66.80_66.70_,1_21_5_5_4_
13:17:50,67.10,1,105,67.20_67.30_67.60_67.80_67.90_,1_1_4_1_3_,67.00_66.90_66.80_66.70_66.60_,21_5_5_3_9_
13:18:42,67.00,10,115,67.20_67.30_67.60_67.80_67.90_,1_1_4_1_3_,67.00_66.90_66.80_66.70_66.60_,11_5_5_3_9_
13:20:45,67.00,4,121,67.20_67.60_67.80_67.90_68.00_,1_4_1_3_10_,67.00_66.90_66.80_66.70_66.60_,10_5_5_3_4_
13:22:17,67.10,1,122,67.60_67.80_67.90_68.00_68.10_,3_5_4_10_6_,67.10_67.00_66.90_66.80_66.70_,2_15_4_4_1_
13:22:53,67.10,1,122,67.60_67.80_67.90_68.00_68.10_,4_5_4_10_6_,67.10_67.00_66.90_66.80_66.70_,2_15_4_4_1_
13:24:51,67.10,1,123,67.50_67.60_67.80_67.90_68.00_,2_4_6_5_12_,67.10_67.00_66.90_66.80_66.70_,1_12_3_5_3_
13:25:21,67.10,1,123,67.50_67.60_67.80_67.90_68.00_,1_4_6_5_12_,67.10_67.00_66.90_66.80_66.70_,1_12_3_5_3_
13:26:23,67.10,1,123,67.50_67.60_67.80_67.90_68.00_,2_3_6_5_12_,67.10_67.00_66.90_66.80_66.70_,2_12_3_5_8_
13:26:49,67.10,1,123,67.40_67.50_67.60_67.80_67.90_,1_2_3_6_5_,67.10_67.00_66.90_66.80_66.70_,1_12_3_5_8_
13:30:00,67.00,5,128,67.40_67.50_67.60_67.80_67.90_,2_2_3_6_5_,67.00_66.90_66.80_66.70_66.60_,22_3_5_8_15_
09:01:12,67.10,1,1,67.40_67.50_67.60_67.70_67.80_,1_2_1_1_6_,67.10_67.00_66.80_66.70_66.60_,1_7_3_1_1_
09:04:22,67.10,1,1,67.40_67.50_67.60_67.70_67.80_,1_2_1_1_6_,67.10_67.00_66.90_66.80_66.70_,6_12_1_2_1_
09:05:18,67.10,1,1,67.50_67.60_67.70_67.80_67.90_,2_1_1_5_2_,67.10_67.00_66.90_66.80_66.70_,6_13_3_1_1_
09:05:18,67.10,1,1,67.50_67.60_67.70_67.80_67.90_,2_1_1_5_2_,67.10_67.00_66.90_66.80_66.70_,6_13_3_1_1_
09:05:18,67.10,1,1,67.50_67.60_67.70_67.80_67.90_,2_1_1_5_2_,67.10_67.00_66.90_66.80_66.70_,6_13_3_1_1_
